Rule or Rule Set or Feature Set	Property of Medium or Isolation	Brief Rationale	Citation	Citation Link
Set of Rules #3,4,5,6,7,10	Marine salinity (332.82 mM NaCl)	Marine isolates require oceanic salt levels for osmotic balance through compatible solute accumulation	Welsh, D.T. (2000). Ecological significance of compatible solute accumulation by micro-organisms. FEMS Microbiol Rev 24(3):263-290	https://academic.oup.com/femsre/article/24/3/263/561870
Rule #1 (assay:β-galactosidase & isolation source:marine)	Complex nitrogen sources + salt tolerance	β-galactosidase activity enhanced by Zn²⁺ and maintained in high-salt peptone/yeast extract media	Zhou, Z. et al. (2021). Characterization and Application of a New β-Galactosidase Gal42 From Marine Bacterium Bacillus sp. BY02. Front Microbiol 12:742300	https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2021.742300/full
Rule #2,6 (EC:Translocases & marine source)	Compatible solute transport systems	ProU and ProP translocases show high-affinity transport (Km 1–5 μM) for glycine betaine under osmotic stress	Cairney, J. et al. (1985). Osmoregulation of gene expression in Salmonella typhimurium: proU encodes an osmotically induced betaine transport system. J Bacteriol 164(3):1224-1232	https://journals.asm.org/doi/10.1128/jb.164.3.1224-1232.1985
Rules #4,5 (marine & temp range:low/very low)	Cold adaptation support	Psychrophilic bacteria use compatible solutes as dual osmo/cryoprotectants with salt/mineral balance	De Maayer, P., Anderson, D., Cary, C., & Cowan, D. A. (2014). Some like it cold: understanding the survival strategies of psychrophiles. EMBO Reports, 15(5), 508–517.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4210084/
Rule #8 (NaCl opt:mid & gram stain:negative)	Outer membrane adaptation	Gram-negative marine bacteria modify LPS and phospholipids for enhanced saline tolerance	Andretta et al. (2024). Increasing outer membrane complexity: the case of the lipopolysaccharide lipid A from marine Cellulophaga pacifica. Glycoconj J 41(2):119-131	https://link.springer.com/article/10.1007/s10719-024-10149-8
Rule #9 (EC:Translocases & NaCl range:high)	High salt transport capability	61.97 mM MgCl₂ stabilizes halophilic translocases and membrane proteins at high salinity	Zaccai, G. et al. (1989). Stabilization of halophilic malate dehydrogenase. J Mol Biol 208(3):491-500	https://pubmed.ncbi.nlm.nih.gov/2795658/
Rule #11 (isolation source:mollusca)	Iron acquisition for symbionts	Fe(III) citrate enables iron uptake via FecA transporters in marine symbiotic bacteria	Sauter, A., & Braun, V. (2004). Defined inactive FecA derivatives mutated in functional domains of the outer membrane transport and signaling protein of Escherichia coli K-12. Journal of Bacteriology, 186(16), 5303–5310.	https://journals.asm.org/doi/10.1128/jb.186.16.5303-5310.2004
Feature Set: ENVO:sea water	Trace marine elements	KBr, SrCl₂, H₃BO₃ mimic seawater for essential cofactor functions and pH buffering	Marine Broth 2216 formulation	https://www.sigmaaldrich.com/US/en/product/sial/76448
Feature Set: NaCl opt/range categories	Osmotic stress response	Marine bacteria accumulate glycine betaine (0.1–0.5 M) as primary compatible solute	Gregory, G. J., & Boyd, E. F. (2021). Stressed out: Bacterial response to high salinity using compatible solute biosynthesis and uptake systems, lessons from Vibrionaceae. Computational and Structural Biotechnology Journal, 19, 1014–1027.	https://pmc.ncbi.nlm.nih.gov/articles/PMC7876524/
Feature Set: EC:Translocases diversity	Ion/nutrient exchange systems	Multiple translocase families manage osmotic adaptation through K⁺ accumulation and betaine transport	Lucht, J.M. and Bremer, E. (1994). Adaptation of Escherichia coli to high osmolarity environments. FEMS Microbiol Rev 14(1):3-20	https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1574-6976.1994.tb00067.x
Feature: assay:β-galactosidase	Carbohydrate metabolism	Marine β-galactosidases (GH families 2, 35, 42) show enhanced activity with Mg²⁺/Zn²⁺ cofactors	Zhou, Z. et al. (2021). Characterization and Application of a New β-Galactosidase Gal42 From Marine Bacterium Bacillus sp. BY02. Front Microbiol 12:742300	https://pmc.ncbi.nlm.nih.gov/articles/PMC8573354/
Feature: gram stain properties	Membrane structure adaptations	Negative charge distribution and modified lipids enable survival at 0.7 M ionic strength	Sebastián et al. (2019). Lipid remodelling is a widespread strategy in marine heterotrophic bacteria upon phosphorus deficiency. ISME J 10(4):968-978	https://www.nature.com/articles/ismej2015172
