,varname1,varval1,lift,cumlift,booster
0,CHEBI:100147,0,0.9949420056694087,0.9949420056694087,/1.0
1,CHEBI:100147,1,1.6959411122406718,1.6959411122406718,x1.7
2,CHEBI:100241,0,0.9993567685561192,0.9993567685561192,/1.0
3,CHEBI:100246,0,0.9986714956563246,0.9986714956563246,/1.0
4,CHEBI:100246,1,1.2905698219977795,1.2905698219977795,x1.3
5,CHEBI:10057,0,1.000277592715967,1.000277592715967,x1.0
6,CHEBI:102130,0,1.0002220618442237,1.0002220618442237,x1.0
7,CHEBI:102484,0,1.0001110185956148,1.0001110185956148,x1.0
8,CHEBI:115156,0,1.0001665371377817,1.0001665371377817,x1.0
9,CHEBI:116278,0,1.0001110185956148,1.0001110185956148,x1.0
10,CHEBI:124991,0,1.0011194068935627,1.0011194068935627,x1.0
11,CHEBI:125610,0,1.0000555062166963,1.0000555062166963,x1.0
12,CHEBI:12931,0,0.9992983684450754,0.9992983684450754,/1.0
13,CHEBI:12936,0,1.0125223839975919,1.0125223839975919,x1.0
14,CHEBI:12936,1,0.7864544556562955,0.7864544556562955,/1.3
15,CHEBI:132106,0,1.0001110185956148,1.0001110185956148,x1.0
16,CHEBI:132111,0,1.0001665371377817,1.0001665371377817,x1.0
17,CHEBI:132112,0,1.0000555062166963,1.0000555062166963,x1.0
18,CHEBI:132943,0,0.9906479865769693,0.9906479865769693,/1.0
19,CHEBI:132943,1,1.8965362975594608,1.8965362975594608,x1.9
20,CHEBI:132950,0,0.999353851115024,0.999353851115024,/1.0
21,CHEBI:133748,0,1.0003886729594669,1.0003886729594669,x1.0
22,CHEBI:13389,0,1.0000555062166963,1.0000555062166963,x1.0
23,CHEBI:134606,0,0.999676979361405,0.999676979361405,/1.0
24,CHEBI:135854,0,1.0000555062166963,1.0000555062166963,x1.0
25,CHEBI:135874,0,1.0000555062166963,1.0000555062166963,x1.0
26,CHEBI:13705,0,0.9980310598909167,0.9980310598909167,/1.0
27,CHEBI:13705,1,1.3637464613894061,1.3637464613894061,x1.4
28,CHEBI:140148,0,1.0000555062166963,1.0000555062166963,x1.0
29,CHEBI:141991,0,1.0000555062166963,1.0000555062166963,x1.0
30,CHEBI:143136,0,0.9963465260915255,0.9963465260915255,/1.0
31,CHEBI:143136,1,2.339706514029988,2.339706514029988,x2.3
32,CHEBI:14314,0,0.9932828211762934,0.9932828211762934,/1.0
